exp_id,date_time,model,features,train_window,validation_scheme,postprocess,valid_metric,valid_wape,valid_rbias,public_score,submission_file,notes
exp_000,2026-04-07 22:52:27,ridge,"route_id, status_*",14d,backtest_same_weekday_n7_train14d,none,0.3545842287589923,0.3333166183764638,0.0212676103825284,,,
exp_001,2026-04-07 22:53:15,ridge,"route_id, status_*, target_now",14d,backtest_same_weekday_n7_train14d,none,0.3504433250549023,0.329768309295926,0.0206750157589761,,,
exp_002,2026-04-07 22:54:18,ridge,"route_id, status_*, target_now, target_lag_*",14d,backtest_same_weekday_n7_train14d,none,0.3505852528772156,0.3269806137890749,0.0236046390881406,,,
exp_003,2026-04-07 22:55:49,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*",14d,backtest_same_weekday_n7_train14d,none,0.3458728298189046,0.3250222120990382,0.0208506177198664,,,
exp_004,2026-04-07 23:02:15,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*",14d,backtest_same_weekday_n7_train14d,none,0.3403167954802926,0.3244797394526548,0.0158370560276377,,,
exp_005,2026-04-07 23:22:34,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n7_train14d,none,0.3386667747740006,0.3236162496333499,0.0150505251406506,,,
exp_006,2026-04-07 23:44:02,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols",14d,backtest_same_weekday_n7_train14d,none,0.3388544644680775,0.3236049661196241,0.0152494983484533,,,
exp_007,2026-04-08 00:11:24,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols, status_agg_lag_*",14d,backtest_same_weekday_n7_train14d,none,0.3385659612473669,0.3235771021809577,0.0149888590664092,,,
exp_008,2026-04-08 00:48:57,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols, status_agg_lag_*, status_agg_roll_*",14d,backtest_same_weekday_n7_train14d,none,0.339490276670538,0.3235654048596985,0.0159248718108394,,,
exp_009,2026-04-08 01:28:22,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols, status_agg_lag_*, status_agg_roll_*, status_agg_ratio",14d,backtest_same_weekday_n7_train14d,none,0.3394745289373696,0.3235732624529253,0.0159012664844443,,,
exp_010,2026-04-08 02:11:39,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols, status_agg_lag_*, status_agg_roll_*, source_calendar_cols",14d,backtest_same_weekday_n7_train14d,none,0.3407121438930469,0.3238923090151743,0.0168198348778725,,,
exp_011,2026-04-08 03:58:54,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*, status_agg_base_cols, status_agg_lag_*, status_agg_roll_*, source_calendar_cols, future_calendar_cols",14d,backtest_same_weekday_n7_train14d,none,0.3407488721873998,0.3238580264393317,0.0168908457480681,,,
exp_012,2026-04-08 14:16:52,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3426805070504606,0.3269674542312604,0.0157130528192002,,,Ridge alpha = 0.5
exp_013,2026-04-08 14:34:42,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3424427325323201,0.3268247974269401,0.0156179351053798,,,Ridge alpha = 1.0
exp_014,2026-04-08 14:50:17,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3430720195832755,0.3269250211626924,0.016146998420583,,,Ridge alpha = 2.0
exp_015,2026-04-08 15:22:13,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3427673628909273,0.3267827157947591,0.0159846470961681,,,Ridge alpha = 4.0
exp_016,2026-04-08 15:38:19,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3422849774795504,0.3266916872952349,0.0155932901843155,,,Ridge alpha = 8.0
exp_017,2026-04-08 15:51:58,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3430966746637877,0.3265912654092605,0.0165054092545272,,,Ridge alpha = 16.0
exp_018,2026-04-08 16:00:01,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",7d,backtest_same_weekday_n5_train7d,none,0.338018945836112,0.3264614919527115,0.0115574538834004,,,change train window=7
exp_019,2026-04-08 16:14:29,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",14d,backtest_same_weekday_n5_train14d,none,0.3422849774795504,0.3266916872952349,0.0155932901843155,,,change train window=14
exp_020,2026-04-08 16:36:11,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",21d,backtest_same_weekday_n5_train21d,none,0.3478286586000567,0.3270561638852598,0.0207724947147968,,,change train window=21
exp_021,2026-04-08 17:03:59,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",28d,backtest_same_weekday_n5_train28d,none,0.347990543910761,0.3270551513907059,0.020935392520055,,,change train window=28
exp_022,2026-04-08 17:31:38,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",3d,backtest_same_weekday_n5_train3d,none,0.3338110951373404,0.3269980558644348,0.0068130392729054,,,change train window=3
exp_023,2026-04-08 17:35:46,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3325196791284676,0.3265553766620786,0.005964302466389,,,change train window=5
exp_024,2026-04-08 18:16:24,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3338960169468777,0.3266842116934065,0.0072118052534712,,,"Ridge alpha = 0.5, train_window = 5"
exp_025,2026-04-08 18:22:29,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3338756859969553,0.3266979525772841,0.007177733419671,,,"Ridge alpha = 1.0, train_window = 5"
exp_026,2026-04-08 18:27:31,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3325566142492095,0.3264888128518872,0.0060678013973223,,,"Ridge alpha = 2.0, train_window = 5"
exp_027,2026-04-08 18:32:03,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3324625700797889,0.3264708907658777,0.0059916793139111,,,"Ridge alpha = 4.0, train_window = 5"
exp_028,2026-04-08 18:38:28,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3325196791284676,0.3265553766620786,0.005964302466389,,,"Ridge alpha = 8.0, train_window = 5"
exp_029,2026-04-08 18:42:57,ridge,"route_id, status_*, target_now, target_lag_*, target_roll_*, status_lag_*, status_roll_*",5d,backtest_same_weekday_n5_train5d,none,0.3331354927295035,0.3266807955816103,0.0064546971478932,,,"Ridge alpha = 16.0, train_window = 5"
